1. Wrocław, (wolny rynek)
347. Wrocław, HONORIUSZA BALZAKA 14a m.12 (wolny rynek)

348. Wrocław, HONORIUSZA BALZAKA 14f m.5 (wolny rynek)

349. Wrocław, HONORIUSZA BALZAKA 41 m.9 (wolny rynek)

350. Wrocław, HONORIUSZA BALZAKA 4w m.20 (wolny rynek)

351. Wrocław, HUBSKA 54 m.74 (wolny rynek)

352. Wrocław, HUBSKA 54 m.95 (wolny rynek)

353. Wrocław, HUBSKA 54 m.95 (wolny rynek)

354. Wrocław, HUBSKA 59-61 (wolny rynek)

355. Wrocław, HUBSKA 71 m.15 (wolny rynek)

356. Wrocław, HUBSKA 8A m.4 (wolny rynek)

357. Wrocław, HUGONA KOŁŁĄTAJA 11/12 m.24 (wolny rynek)

358. Wrocław, HUGONA KOŁŁĄTAJA 25 m.10 (wolny rynek)

359. Wrocław, HUGONA KOŁŁĄTAJA 27/28 m.28 (wolny rynek)

360. Wrocław, HUTNICZA 66 m.8 (wolny rynek)

361. Wrocław, ICCHAKA LEJBA PERECA 9 m.9 (wolny rynek)

362. Wrocław, IGNACEGO CHRZANOWSKIEGO 7 m.2 (wolny rynek)

363. Wrocław, IGNACEGO DASZYNSKIEGO 10 m.12 (wolny rynek)

364. Wrocław, IGNACEGO DASZYNSKIEGO 18 m.14 (wolny rynek)

365. Wrocław, IGNACEGO DASZYNSKIEGO 26 m.10 (wolny rynek)

366. Wrocław, IGNACEGO DASZYNSKIEGO 51 m.6 (wolny rynek)

367. Wrocław, IGNACEGO MOŚCICKIEGO 11-17 (wolny rynek)

368. Wrocław, IGNACEGO MOŚCICKIEGO 17 m.2 (wolny rynek)

369. Wrocław, IGNACEGO MOŚCICKIEGO 25 m.7 (wolny rynek)

370. Wrocław, IGORA STRAWINSKIEGO 5 m.41 (wolny rynek)

371. Wrocław, INFLANCKA 11 m.26 (wolny rynek)

372. Wrocław, INOWROCŁAWSKA 1 m.18 (wolny rynek)

373. Wrocław, INOWROCŁAWSKA 17 m.35 (wolny rynek)

374. Wrocław, INOWROCŁAWSKA 3 m.15 (wolny rynek)

375. Wrocław, INŻYNIERSKA 51 m.8 (wolny rynek)

376. Wrocław, INŻYNIERSKA 58 m.54 (wolny rynek)

377. Wrocław, INŻYNIERSKA 64 m.52 (wolny rynek)

378. Wrocław, INŻYNIERSKA 64 m.55 (wolny rynek)

